body,title,url
,,http://www.eluniversal.com.mx/deportes
"
Es el duelo entre los clubes más populares del futbol mexicano, pero, más allá de eso, es la confrontación que encumbra o sepulta diversas carreras, porque el Clásico de clásicos no ha perdido el intenso aroma que lo distingue desde hace varias décadas, sin importar el presente de ambos protagonistas.
Puedes leer: ""América vs Chivas, las cinco cosas a seguir en el Clásico Nacional""
La que se jugará mañana por la noche en el Estadio Azteca será la edición 237 del choque entre el América y el Guadalajara, si se toman en cuenta duelos oficiales y amistosos.
El balance favorece a las Águilas, con 85 victorias, por 75 de las Chivas y 76 empates, aunque en fase regular de Liga —como el que se jugará esta vez— los números favorecen al Rebaño Sagrado.
 

 

Sólo en encuentros de campaña regular, los rojiblancos tienen 56 triunfos, mientras que los azulcrema suman 46, con 51 igualadas. El máximo anotador en estos partidos es el mítico Salvador Reyes, quien firmó 13 tantos para el Guadalajara en los choques contra el América, cuyo mejor realizador en el Clásico Nacional es Luis Roberto Alves Zaguinho, con ocho.
Interminable historia de leyendas que vivirá un nuevo capítulo en el Coloso de Santa Úrsula, con un entrenador novato en estas lides (Víctor Manuel Vucetich) y otro que la conoce bien (Miguel Herrera).







",,http://www.eluniversal.com.mx/universal-deportes/futbol/america-vs-chivas-partido-que-define-el-rumbo-de-futbolistas-en-la-liga-mx
"
Jesús Esparza fue auditor superior de Chihuahua durante el gobierno de César Duarte. En febrero de 2017, cuando aún le quedaba un año en el cargo, renunció en medio de un escándalo por las investigaciones sobre el gobierno de Duarte que ha encabezado y promovido su sucesor, el gobernador Javier Corral. 
Lo detuvieron meses más tarde. Lo acusaron de peculado y ejercicio ilegal del servicio público. Ganó un primer caso, pero vino otro, otro y otro más. En lugar de acumular los cargos en un caso, como en otros procesos contra políticos, como el de Rosario Robles, Esparza ha recibido 11 acusaciones distintas, es decir, litigar 11 juicios. “En esto no hay siquiera una economía jurídica, es absurdo”, me dijo su defensa, que encabeza Irving Anchondo.
Ahora, lleva tres años en prisión preventiva, aunque los delitos por los que lo han acusado pueden juzgarse fuera de la cárcel. “La gente quiere ver a funcionarios en la cárcel y así el gobierno dice que está combatiendo la corrupción”, me dijo un familiar del exfuncionario. Pidió omitir su nombre. Asegura que también a ellos los amenazaron con un proceso judicial si hablan con la prensa. 
La prisión preventiva, en teoría, no debe durar más de un año. La de Esparza lleva tres. Le han dicho que no tiene un arraigo en su ciudad, pero no se había mudado de la misma casa en 11 años. Ha conseguido 13 resoluciones a su favor por violaciones a derechos humanos. Denunció penalmente que trataron de extorsionarlo, pidiéndole dinero para restarle acusaciones. Su familia dice que lo han presionado a declararse culpable, tomar un juicio abreviado, con la posibilidad de salir antes de su arresto, pero no quiere. Dice que no admitirá algo que no hizo. 
En un juicio por corrupción en México, se es culpable desde el principio. Pasa ahora en Chihuahua. Pasó antes en la Operación Limpieza, cuando 25 funcionarios fueron a la cárcel y salieron años más tarde. No pudieron probar su complicidad con el narcotráfico. “Nadie nos ha escuchado. Nos exhibieron como corruptos y se cerraron las puertas”, me dijo la familia de Esparza. 
La defensa y la familia apuntan sus reclamos al poder judicial de Chihuahua. Dicen que han aprobado prisiones preventivas, aunque no se justifiquen. 
Esparza está en un módulo donde había otros seis funcionarios hasta hace tres semanas. Uno enfermó. Se llamaba Lázaro López. Comenzó a sentirse débil y no respiraba bien. La doctora del penal le dijo que no estaba enfermo, sino nervioso. Murió de Covid-19 en unos días. Esparza también resultó positivo. Lo enviaron a un hospital, luego al módulo de Covid-19 en la cárcel, aunque era asintomático. 
Las autoridades sanitarias han recomendado que los pacientes asintomáticos se aíslen; pero no sucedió en este caso. Esparza se infectó de la garganta en el módulo de Covid-19. Con fiebre e infección, debió esperar 12 horas a que lo revisara un médico, dice su defensa. 
Después murió un custodio de la cárcel. Varias familias aseguran que hay un brote peligroso allí. Las autoridades han respondido que la situación está bajo control y Esparza tiene condiciones adecuadas de reclusión. Han dicho que los reclamos de la familia son parte de una estrategia de defensa. 
Algunos jueces dictaron arraigo domiciliario a varios de los compañeros de Esparza, pero no a él. Su defensa afirma que cada seis meses, en los últimos tres años, le han incluido una nueva acusación cuando está a punto de vencer la prisión preventiva o cuando está próximo a ganar un amparo. “Nunca han querido justicia. Esto se trata de una venganza personal y de una estrategia electoral. Los prefieren muertos que libres”, me dijo su familia.
Revisé para esta columna quejas, reclamos a derechos humanos, testimonios de familiares y abogados. Hallé que el caso de Esparza es uno de muchos en el país que enfrentan hoy una crisis de derechos humanos, agravada por las condiciones sanitarias de las cárceles. Las acusaciones de corrupción judicial y procesal se acumulan, en casos que precisamente buscan investigar y castigar la corrupción. 
Si alguien que combate el delito es acusado, perdemos todos. Combatir la corrupción no se trata de llenar cifras en una base de datos, sino de encontrar verdad, y entender procesos, sistemas corruptos. Si se busca verdad, sin caer en lo mismo que se investiga, ganaremos todos.
",,http://www.eluniversal.com.mx/opinion/peniley-ramirez/el-corrupto-combate-la-corrupcion
"
En la misma semana que el barco fondeado por Banksy* (Yate, Gloucestershire, 1974) rescataba refugiados en las aguas del mar Mediterráneo, la casa de subastas Forum en Londres se beneficiaba de la cada vez mayor fama del artista callejero nacido en Bristol que continúa haciendo más y más olas. La subasta del 4 de septiembre llevó por nombre Only Banksy Sale, siendo la quinta dedicada a las ediciones de su obra gráfica que nadie conoce físicamente. Se subastaron 24 lotes con 100% de venta (subasta de guante blanco para utilizar el argot de los subastadores cuando se vende el total) y un precio de martillo de 1 millón 180 mil libras esterlinas (no incluye premio de la casa de subastas), contra una reserva de 842,000 libras esterlinas.
El Director Ejecutivo y Fundador de Forum, Stephan Ludwig, dijo: “hemos visto incrementos de 100% en el mercado de Banksy desde 2019”, esto se ha logrado en gran parte por anunciar las subastas extensamente y ganar tanto la atención de compradores como de vendedores, incluyendo una serie de anuncios en la primera página del Financial Times; también distinguiéndose con vender sólo obras certificadas por su propio servicio de autentificación Pest Control (Control de plagas), haciendo que la casa de subastas conquiste la confianza de los coleccionistas cuando abundan las reproducciones y falsificaciones.

El mercado de este artista callejero era básicamente de compradores de Estados Unidos y Reino Unido, pero se ha extendido a Europa y Japón. Su obra se asocia con elevados rendimientos y la última subasta subrayó las altas recompensas disponibles para los primeros inversionistas. Tres cuartos de los lotes vendidos en la subasta provenían de consignantes (vendedores) que adquirieron la obra gráfica en menos de 1,000 libras esterlinas cuando fueron emitidas por primera vez, lo que significa que obtuvieron un beneficio mínimo de 22 veces el precio original.
Uno de los vendedores puso a la venta su obra gráfica para comprarse una casa en Francia. Banksy tiene una jerarquía en el mercado, donde las imágenes más famosas alcanzan los mejores precios. Las obras que alcanzaron el precio más alto fueron Girl with Balloon (Niña con globo) 132,000 libras esterlinas y Rude Copper (Policía grosero) 125,000 libras esterlinas (ninguna de las dos incluye premio de la casa de subastas).

La primera imagen conocida de Banksy de una niña con globo fue pintada con aerosol en el Puente Waterloo (Londres) en 2002, se popularizó en otros murales, a veces con ligeras variaciones, apareciendo incluso en la fachada de una tienda en Shoreditch (al este de Londres), así como otra en el muro de Cisjordania que divide a Israel de Palestina. La mayoría ya han sido cubiertas o eliminadas, incluso la original del Puente que conmemora la victoria del duque de Wellington sobre Napoleón en las afueras de Bruselas, en Waterloo, el 18 de junio de 1815.
De esta misma imagen Banksy hizo una versión en aerosol y acrílico sobre tela que alcanzó un precio de martillo de 1 millón 42 mil libras esterlinas (incluye premio de la casa de subastas) en Sotheby’s, Londres, antes de triturarse espontáneamente durante la subasta en 2018, posiblemente esto ayudó a convertirla en la imagen más reconocible del artista.

Ahora bien, ¿quién es Banksy?. Es un artista callejero inglés, activista político, director de cine activo desde 1990; su arte es satírico, subversivo, de humor negro, producido con técnica de stencil (estampado a partir de plantillas) en calles, paredes y puentes de todo el mundo. Empezó en la Bristol Underground Scene donde colaboraban artistas y músicos. Banksy fue inspirado por la 3D de un artista de graffiti y del grupo musical Massive Attack. La obra de Banksy se comercializa y autentifica a través de Pest Control y en las casas de subastas.
Hoy 18 de septiembre cierra una subasta en línea de Sotheby’s en Londres dedicada exclusivamente a 27 lotes de Banksy.


*De acuerdo con una investigación de la Universidad Queen Mary de Londres (marzo, 2016), Banksy podría ser Robin Gunningham, residente de Bristol.
",,http://www.eluniversal.com.mx/opinion/luis-c-lopez-morton-z/banksy-en-subastas
"
Los partidos de la semana 3 de la LNBP entre Fuerza Regia de Monterrey y los Correcaminos de la Universidad Autónoma de Tamaulipas quedaron cancelados a consecuencia del coronavirus.
Cumpliendo con el protocolo sanitario, los equipos hicieron pruebas a sus jugadores a lo que se detectaron casos positivos a Covid-19  por lo que en el equipo de correcaminos se tomó la determinación de cancelar la jornada.
El primer partido estaba programa para hoy viernes 18 de septiembre a las 20:00 horas.
 

 
 ",,https://www.eluniversal.com.mx/universal-deportes/mas-deportes/cancelan-juegos-de-la-lnbp-por-casos-de-coronavirus
,,http://www.eluniversal.com.mx/autor-opinion/articulistas/mario-maldonado/mario-maldonado
,,http://www.eluniversal.com.mx/autor-opinion/columnistas/periodistas-el-universal/bajo-reserva
"
Leer en español
The governments of Mexico and the U.S. agreed Thursday to extend one more month the restrictiosn to non-essential travel at their shared land border that expired on September 21 due to the COVID-19 pandemic.
“Both countries will coordinate the health measures in the border region that will be valid until 23:59 of October 21, 2020,” said Mexico’s Foreign Affairs Ministry (SRE) in its social networks.
The SRE asserted that the restrictions will remain “in the same terms” since they were first implemented on March 21, when non-essential land travel was restricted, but agreed to allow transit for commercial, educational, or health reasons.
At first, the restrictions would only last for 30 days until April, however, since then, both countries have extended the measures limiting travel for tourism or recreational purposes month after month.
Recommended: U.S. issues highest travel alert warning against visiting COVID-19-hit Mexico
This time, it was the Mexican government that proposed the extension of the restrictions that have never been applied to commercial flights.


Las restricciones se mantendrán en los mismos términos en que se han desarrollado desde su implementación, el pasado 21 de marzo.
 — Relaciones Exteriores (@SRE_mx) September 17, 2020

“After reviewing the development of the spread of COVID-19, Mexico proposed the United States to extend, one more month, the non-essential travel restrictions in our shared border,” said the SRE.
People in northern Mexico has denounced that, while they are denied to cross the border, American citizens are allowed to enter into Mexican territory to buy medicines, groceries, and do activities that are not allowed in their region.
Mexican citizens have expressed their concerns because California, Arizona, and Texas, all of them U.S. border states, are in the first spots of COVID-19 cases in the neighboring country.
Nonetheless, Donald Trump said a month ago that Tijuana “is the most infected place in South America” by “the Chinese plague.”
“Mexico is very infected but the Wall is preventing people from crossing,” he said at an event in Arizona.
The Mexico-U.S. border, which covers over 3,000 km, is one of the most active borders in the world with over 1 million people crossing every day and a daily exchange of goods and services worth USD $1.7 billion.
To date, Mexico is the 7th country with more COVID-19 cases and the 4th in the number of deaths, according to the Johns Hopkins University.
However, the same university lists the U.S. in the first spot for both rates with almost 6.5 million cases and about to surpass 200,000 COVID-19-related deaths.
Recommended: Switzerland removes Mexico from its COVID-19 high-risk list
For its part, Canada joined the extensión of its shared land border with the u.S. until October 21 due to the coronavirus pandemic. Many Canadians fear reopening since the United States has more COVID-19 cases and deaths than any other country in the world.
Canada’s Public Security Minister Bill Blair said Friday that they will keep taking the decision base on the best public health recommendations available to protect Canadians.


We are extending non-essential travel restrictions with the United States until October 21st, 2020. We will continue to base our decisions on the best public health advice available to keep Canadians safe.
 — Bill Blair (@BillBlair) September 18, 2020

Canada has registered a surge in coronavirus cases in recent weeks. Ontario, the largest province in that country, reported 401 new cases on Friday.
Essential workers – such as healthcare workers, airline crew members, and bus drivers – are allowed to cross the border. Bus drivers are important because they transport food and medical supplies in both directions. Most part of Canada’s food supplies come from the U.S.
American citizens returning to the U.S. and Canadians returning to their country are also exempt from the border restrictions.
mp
",,https://www.eluniversal.com.mx/english/covid-19-mexico-us-canada-extend-non-essential-travel-restrictions-until-october
,,http://www.eluniversal.com.mx/autor-opinion/columnistas/luis-c-lopez-morton-z
"

El gobierno de Rusia entregó de manera formal a la Comisión Federal para la Protección de Riesgos Sanitarios (Cofepris) los materiales que se tienen hasta ahora relacionados con las pruebas clínicas de la vacuna Sputnik V, por lo que ahora “la pelota está en la cancha mexicana”, revela el embajador ruso en México, Víktor Koronelli.

En entrevista con EL UNIVERSAL, advierte que su gobierno está en comunicación permanente con el mexicano sobre el tema de la vacuna.

“Este asunto se trató en la reunión que sostuve con el secretario Marcelo Ebrard, además de que la SRE, la Secretaría de Salud, la Cofepris y Conacyt participaron en la videoconferencia con el Fondo Ruso de Inversión Directa y el Centro Nacional Gamaleya, que es la institución científica responsable de desarrollar dicho biológico. En resumen, los contactos entre nuestros gobiernos están establecidos”, asegura.

El embajador comenta la importancia de los adelantos que la Federación Rusa sigue haciendo para que la vacuna Sputnik V entre en su fase tres, donde se espera que México se sume a ella y que es de vital importancia, porque esto daría certeza sobre su seguridad y eficacia, porque en la primera y segunda fases, asegura, los resultados fueron positivos entre los voluntarios, donde participó una de las hijas del presidente de Rusia, así como otros funcionarios del gobierno.
 También lee: ONU destaca impulso de México sobre acceso a vacunas contra Covid-19

¿Qué es lo urgente por hacer que en estos momentos no se debe descuidar?

—Actualmente la tarea primordial es finalizar de manera oportuna los ensayos clínicos de las vacunas desarrolladas por distintos países, así como facilitar y garantizar el acceso a éstas para la población en general.

¿Cuáles son los avances que ha tenido Rusia respecto a su vacuna?

—Hablando de la vacuna rusa Sputnik V, cabe mencionar que la primera y la segunda fases de sus ensayos clínicos se han culminado con éxito, y ya estamos en la última y tercera fase, que involucra a más de 40 mil voluntarios. Vale la pena mencionar que entre estos voluntarios se encuentran una de las hijas del presidente Vladimir Putin, así como ministros del gobierno federal y legisladores, y que ninguno de ellos presentó efectos adversos.

¿Cuál es la certeza de su eficacia?

—Tenemos todos los fundamentos para considerar la vacuna segura y eficaz. También participan otros países y ojalá México se sume en la fase tres.

¿Es un hecho que la vacuna llegue a México, así como a otros países de América Latina? ¿Cuándo será esto?

—El Fondo Ruso de Inversión Directa, que es un organismo gubernamental con derechos exclusivos para exportar y localizar la producción de la vacuna rusa en el extranjero, reiteradamente ha manifestado su disposición para traer el antídoto a América Latina y a México en particular. Esta posibilidad se ha discutido en la videoconferencia regional sobre la Sputnik V que se celebró el pasado 10 de septiembre, con la intervención de más de 650 participantes de 26 países de la región, invitados por Rusia y la presidencia pro témpore que ostenta México en la CELAC.
 También lee: El 14% de vacunados con Sputnik V mostró efectos secundarios, según Rusia

Cuándo se pueden iniciar los suministros depende de las autoridades mexicanas. El fármaco primero tiene que ser registrado por Cofepris; de hecho, el 14 de septiembre le pasamos de manera oficial y formal todos los materiales que hay hasta ahora de resultados de las pruebas clínicas de la vacuna Sputnik V, o sea, la pelota está en la cancha mexicana.

¿Cuáles son las pláticas que se tienen con el gobierno federal de México?

—Estamos en comunicación permanente con el gobierno mexicano sobre el tema de la vacuna. Este asunto se trató en la reunión que sostuve con el secretario Marcelo Ebrard, además de que la SRE, la Secretaría de Salud, la Cofepris y el Conacyt participaron en la videoconferencia con el Fondo Ruso de Inversión Directa y el Centro Nacional Gamaleya, que es la institución científica responsable de desarrollar dicho biológico. En resumen, los contactos entre nuestros gobiernos están establecidos.

¿Se involucran laboratorios para la distribución de esta vacuna?

—Actualmente no disponemos de esta información. Esto más bien le correspondería a México decidirlo.

Y el acuerdo para su distribución con el gobierno mexicano, ¿cuál es?

—Para hablar sobre los suministros primero necesitamos que sea registrada la vacuna con el regulador nacional mexicano.
 También lee: Presentación de la vacuna Sputnik-V, un monólogo: López-Gatell
 ¿Los presidentes de ambos países se han comunicado para hablar de la pandemia y de los avances de la vacuna de Rusia?

—Los presidentes no han platicaron al respecto, pero hay un contacto permanente entre las cancillerías de Rusia y México en cuanto a este tema.
",,http://www.eluniversal.com.mx/nacion/rusia-inicia-proceso-para-vacuna-en-mexico-entrega-pruebas-cofepris
